Timestamp,Mode,Data,differential pressure value,pressure values
16:17:01.513,RX,Pressure values:,-0.38,9838.20
16:17:01.513,RX,9838.20,-0.38,9838.20
16:17:01.661,RX,Differential Pressure values:,-0.08,9838.20
16:17:01.662,RX,-0.08,-0.08,9838.20
16:17:01.662,RX,Pressure values:,-0.08,9838.30
16:17:01.662,RX,9838.30,-0.08,9838.30
16:17:01.810,RX,Differential Pressure values:,-0.38,9838.30
16:17:01.811,RX,-0.38,-0.38,9838.30
16:17:01.814,RX,Pressure values:,-0.38,9838.20
16:17:01.814,RX,9838.20,-0.38,9838.20
16:17:01.961,RX,Differential Pressure values:,-0.18,9838.20
16:17:01.962,RX,-0.18,-0.18,9838.20
16:17:01.963,RX,Pressure values:,-0.18,9838.50
16:17:01.963,RX,9838.50,-0.18,9838.50
16:17:02.112,RX,Differential Pressure values:,-0.18,9838.50
16:17:02.113,RX,-0.18,-0.18,9838.50
16:17:02.113,RX,Pressure values:,-0.18,9838.20
16:17:02.113,RX,9838.20,-0.18,9838.20
16:17:02.261,RX,Differential Pressure values:,-0.28,9838.20
16:17:02.262,RX,-0.28,-0.28,9838.20
16:17:02.264,RX,Pressure values:,-0.28,9838.30
16:17:02.264,RX,9838.30,-0.28,9838.30
16:17:02.413,RX,Differential Pressure values:,-0.18,9838.30
16:17:02.415,RX,-0.18,-0.18,9838.30
16:17:02.415,RX,Pressure values:,-0.18,9838.40
16:17:02.416,RX,9838.40,-0.18,9838.40
16:17:02.562,RX,Differential Pressure values:,-0.38,9838.40
16:17:02.563,RX,-0.38,-0.38,9838.40
16:17:02.563,RX,Pressure values:,-0.38,9838.20
16:17:02.563,RX,9838.20,-0.38,9838.20
16:17:02.712,RX,Differential Pressure values:,-0.28,9838.20
16:17:02.712,RX,-0.28,-0.28,9838.20
16:17:02.714,RX,Pressure values:,-0.28,9838.30
16:17:02.714,RX,9838.30,-0.28,9838.30
16:17:02.861,RX,Differential Pressure values:,-0.18,9838.30
16:17:02.862,RX,-0.18,-0.18,9838.30
16:17:02.862,RX,Pressure values:,-0.18,9838.10
16:17:02.863,RX,9838.10,-0.18,9838.10
16:17:03.013,RX,Differential Pressure values:,-0.38,9838.10
16:17:03.014,RX,-0.38,-0.38,9838.10
16:17:03.014,RX,Pressure values:,-0.38,9838.30
16:17:03.014,RX,9838.30,-0.38,9838.30
16:17:03.161,RX,Differential Pressure values:,-0.38,9838.30
16:17:03.162,RX,-0.38,-0.38,9838.30
16:17:03.165,RX,Pressure values:,-0.38,9838.20
16:17:03.165,RX,9838.20,-0.38,9838.20
16:17:03.313,RX,Differential Pressure values:,-0.38,9838.20
16:17:03.313,RX,-0.38,-0.38,9838.20
16:17:03.313,RX,Pressure values:,-0.38,9838.30
16:17:03.313,RX,9838.30,-0.38,9838.30
16:17:03.460,RX,Differential Pressure values:,-0.28,9838.30
16:17:03.461,RX,-0.28,-0.28,9838.30
